category,filename,snr,psnr_denoised,ssim_denoised,mse_denoised,psnr_noisy,ssim_noisy,mse_noisy,psnr_improvement,ssim_improvement
Frank,Frank_-10dB_120.png,-10,11.50505353252223,0.0036382983243150938,4598.063954878827,18.768528024259492,0.07275654992766646,863.4308434311224,-7.263474491737263,-0.06911825160335136
Frank,Frank_-10dB_121.png,-10,11.888079834740894,0.029776646204626684,4209.905791613521,20.622542606710507,0.06716021584081994,563.4120097257653,-8.734462771969612,-0.037383569636193256
Frank,Frank_-10dB_122.png,-10,11.383318101133334,0.003991279242647261,4728.773915816327,17.901905876746437,0.03395220989601601,1054.1193199936224,-6.518587775613103,-0.029960930653368748
Frank,Frank_-10dB_123.png,-10,11.637298198224062,0.0105612072469958,4460.161053093112,17.8062775488882,0.03331671051461472,1077.5876514668366,-6.168979350664138,-0.022755503267618916
Frank,Frank_-10dB_124.png,-10,11.52716273899474,0.002713503233332409,4574.715461575255,18.97529497442694,0.07004967123497946,823.2862523915817,-7.448132235432201,-0.06733616800164705
Frank,Frank_-10dB_125.png,-10,11.465406247818263,0.002684464759101764,4640.2324418048465,17.795781526648298,0.016692507648434114,1080.1951132015306,-6.330375278830035,-0.01400804288933235
FSK4_Baker5,FSK4_Baker5_-10dB_1.png,-10,11.684211593092344,0.004792776204730261,4412.240752551021,17.98422378339707,0.033742799107430645,1034.3272879464287,-6.3000121903047255,-0.028950022902700386
FSK4_Baker5,FSK4_Baker5_-10dB_10.png,-10,11.63327219792459,0.01548909175304293,4464.297632334184,17.12383855365466,0.05251934885869594,1260.9460499043366,-5.490566355730071,-0.03703025710565301
FSK4_Baker5,FSK4_Baker5_-10dB_100.png,-10,11.611553705642512,0.007054074478988836,4486.678910235969,18.362766708227237,0.031005180800516733,947.9898557079082,-6.751213002584725,-0.023951106321527898
FSK4_Baker5,FSK4_Baker5_-10dB_101.png,-10,11.59952336081357,0.004400554094878881,4499.124641262755,18.57408982359906,0.04476424404662404,902.9659598214286,-6.974566462785489,-0.040363689951745156
FSK4_Baker5,FSK4_Baker5_-10dB_102.png,-10,11.83090111180211,0.026346336771456504,4265.699418048469,18.248095011572985,0.04020340457996072,973.3540935905612,-6.417193899770876,-0.013857067808504219
FSK4_Baker5,FSK4_Baker5_-10dB_103.png,-10,11.788415015695081,0.019397335320316185,4307.634626116072,19.399240925384344,0.05149568296385147,746.7173947704082,-7.610825909689263,-0.03209834764353529
FSK4_Baker5,FSK4_Baker5_-10dB_104.png,-10,11.640891807529531,0.0030141939772979926,4456.471978635204,19.281651014493036,0.05204759197412552,767.2117745535714,-7.640759206963505,-0.04903339799682753
FSK4_Baker5,FSK4_Baker5_-10dB_105.png,-10,11.5618376838619,0.004247289155828937,4538.335439253827,19.733540327214577,0.058350045396566075,691.3951490752551,-8.171702643352678,-0.05410275624073714
FSK4_Baker5,FSK4_Baker5_-10dB_106.png,-10,11.63231815641522,0.008475483888199596,4465.278439891582,19.478748828538347,0.04579446919019764,733.1713368941327,-7.846430672123127,-0.037318985301998044
FSK4_Baker5,FSK4_Baker5_-10dB_107.png,-10,11.592432211112095,0.004108012953393394,4506.476801658163,17.1268490808194,0.0438039808826476,1260.072265625,-5.5344168697073055,-0.03969596792925421
FSK4_Baker5,FSK4_Baker5_-10dB_108.png,-10,11.734505924082274,0.01657829852597162,4361.438655931122,18.92139056500313,0.08094087237366604,833.5685188137755,-7.186884640920855,-0.06436257384769442
FSK4_Baker5,FSK4_Baker5_-10dB_109.png,-10,11.634184503598338,0.005644891401361223,4463.359933035715,18.53240465156121,0.052148309916873345,911.6746851084183,-6.898220147962874,-0.046503418515512124
FSK4_Baker5,FSK4_Baker5_-10dB_11.png,-10,11.58196985475085,0.003764620658870732,4517.346201371173,17.598118154486908,0.015890979308956464,1130.4947385204082,-6.016148299736058,-0.012126358650085732
FSK4_Baker5,FSK4_Baker5_-10dB_110.png,-10,11.583391081091339,0.003673787325614669,4515.8681441326535,19.41704485588845,0.056213672481497445,743.6624880420918,-7.83365377479711,-0.05253988515588277
FSK4_Baker5,FSK4_Baker5_-10dB_111.png,-10,11.63494268719006,0.004356622964658214,4462.58079559949,18.404383757792402,0.05375423847457436,938.9489596619898,-6.769441070602342,-0.04939761550991615
FSK4_Baker5,FSK4_Baker5_-10dB_112.png,-10,11.576205343564697,0.004379219591470071,4523.346181441327,17.879161736822365,0.03133992032884049,1059.654257015306,-6.302956393257668,-0.02696070073737042
FSK4_Baker5,FSK4_Baker5_-10dB_113.png,-10,11.585530322503985,0.003517276686707257,4513.64427216199,18.948779741502044,0.05246424236591489,828.3280851403061,-7.363249418998059,-0.04894696567920763
FSK4_Baker5,FSK4_Baker5_-10dB_114.png,-10,11.579824705610303,0.0045004790217863634,4519.578045280612,17.659579022364756,0.02905059114147362,1114.6087771045918,-6.079754316754453,-0.02455011211968726
FSK4_Baker5,FSK4_Baker5_-10dB_115.png,-10,11.69402827512563,0.011486359950667073,4402.278698979592,19.889576283807106,0.07004078149461625,666.9952367665817,-8.195548008681476,-0.05855442154394917
FSK4_Baker5,FSK4_Baker5_-10dB_116.png,-10,11.635711323415915,0.004059876278220447,4461.791055484694,18.52995551529334,0.0494424758675624,912.1889548788265,-6.894244191877426,-0.045382599589341946
FSK4_Baker5,FSK4_Baker5_-10dB_117.png,-10,11.568354828124832,0.008176257539527722,4531.530193718112,19.638130618466548,0.10785405985863279,706.7524115114796,-8.069775790341716,-0.09967780231910507
FSK4_Baker5,FSK4_Baker5_-10dB_118.png,-10,11.631479692608247,0.00421435926237752,4466.1406050701535,18.675272905436454,0.05980246163202685,882.1715959821429,-7.0437932128282075,-0.055588102369649325
FSK4_Baker5,FSK4_Baker5_-10dB_119.png,-10,11.589308454761845,0.0043394815900600105,4509.719347895408,17.99861389772567,0.054924918914753505,1030.9057716836735,-6.409305442963824,-0.05058543732469349
FSK4_Baker5,FSK4_Baker5_-10dB_12.png,-10,11.634813631093222,0.0031496038016078786,4462.713408801021,17.940838299399875,0.028843836630592527,1044.711874202806,-6.306024668306653,-0.02569423282898465
FSK4_Baker5,FSK4_Baker5_-10dB_120.png,-10,11.733187937187864,0.017386948489985145,4362.762456154337,18.137821899830012,0.01576263264766401,998.3852838010204,-6.404633962642148,0.0016243158423211342
FSK4_Baker5,FSK4_Baker5_-10dB_121.png,-10,11.595837094489498,0.0036040068778016464,4502.945093271684,19.790760393506194,0.05939670768612677,682.3454838966836,-8.194923299016695,-0.05579270080832513
FSK4_Baker5,FSK4_Baker5_-10dB_122.png,-10,11.728172697211626,0.007916228914646016,4367.803491709184,18.194365289408815,0.04193611736234481,985.4709622130102,-6.466192592197189,-0.03401988844769879
